Time_ms,Solar Voltage_V,Solar Current_mA,Solar Power_mW,,MPPT Voltage_V,MPPT Current_mA,MPPT Power_mW,MPPT Efficiency_%
78806,12.92,439.2,5666,,5.15,972.8,5004,88.32
79314,12.91,439.7,5678,,5.15,972.8,5004,88.13
79822,12.92,439.3,5672,,5.15,972,5008,88.29
80330,12.94,439.3,5666,,5.16,972,5008,88.39
80838,12.93,439.5,5668,,5.16,972.8,5008,88.36
81346,12.9,439.8,5666,,5.15,972.4,5008,88.39
81854,12.89,440.8,5656,,5.16,971.8,5008,88.54
82362,12.91,440.5,5666,,5.15,971.9,5004,88.32
82870,12.89,440.2,5666,,5.15,972.3,5010,88.42
83378,12.9,440.9,5662,,5.16,971.9,5004,88.38
83886,12.88,441.2,5642,,5.15,971.4,5010,88.8
84394,12.9,439.6,5662,,5.16,970.9,4998,88.27
84902,12.92,439.8,5652,,5.15,973.2,5008,88.61
85410,12.9,440.5,5650,,5.15,971.5,5004,88.57
85918,12.86,441,5660,,5.15,971.2,5004,88.41
86426,12.86,442.1,5660,,5.15,971.7,5008,88.48
86934,12.86,442,5646,,5.15,972,5000,88.56
87442,12.86,440.7,5660,,5.15,972.1,5014,88.59
87950,12.84,441.6,5660,,5.15,972.1,5004,88.41
88458,12.85,442.9,5656,,5.15,972.6,5008,88.54
88966,12.85,442.2,5662,,5.15,972,5004,88.38
89474,12.86,441.5,5666,,5.15,972.2,5004,88.32
89982,12.86,442.4,5652,,5.15,972.2,5004,88.54
90490,12.83,442.6,5656,,5.16,972.3,5010,88.58
90998,12.8,443.1,5660,,5.15,971.5,5000,88.34
91506,12.81,443.6,5650,,5.15,971.7,5010,88.67
92014,12.8,443.3,5660,,5.15,971.6,5000,88.34
92522,12.8,443.2,5668,,5.15,973.2,4998,88.18
93030,12.81,443,5646,,5.15,972,5008,88.7
93538,12.82,443.2,5650,,5.15,971.5,5000,88.5
94046,12.83,442.2,5662,,5.15,972.5,5014,88.56
94554,14.62,19.1,278,,5.27,-0.3,0,0
95062,14.6,18.9,276,,5.26,-0.2,0,0
95570,14.61,19,278,,5.26,-0.3,0,0
96078,14.61,18.8,276,,5.26,0,0,0
96586,14.6,19,276,,5.26,-0.3,0,0
97094,14.6,19,276,,5.26,-0.1,0,0
97602,14.12,18.9,266,,5.26,-0.3,0,0
98110,10.48,15.8,164,,5.26,-0.2,4,2.44
98618,8.11,11.3,92,,5.26,-0.1,0,0
99126,8.01,11.3,92,,5.26,-0.3,0,0
99634,8.01,11.2,88,,5.26,-0.6,4,4.55
100142,8.04,11.1,88,,5.26,-0.3,0,0
100650,8.03,11.2,88,,5.26,-0.2,0,0
101158,8.01,11.3,92,,5.26,-0.2,0,0
101666,8.03,11.4,92,,5.26,-0.1,0,0
102174,8.05,11.3,92,,5.26,-0.3,0,0
102682,8.06,11.3,92,,5.26,-0.5,0,0
103190,8.05,11.4,92,,5.26,-0.4,4,4.35
103698,8.03,11.4,92,,5.26,-0.4,4,4.35
104206,8,11.1,88,,5.26,-0.4,4,4.55
104714,8.07,11,92,,5.26,-0.5,4,4.35
105222,8.06,11,92,,5.26,-0.3,0,0
105730,8.05,11.2,92,,5.26,0,0,0
106238,8.06,11.2,88,,5.26,-0.1,0,0
106746,8.08,11,88,,5.26,-0.2,0,0
107254,8.13,11.1,88,,5.26,-0.3,0,0
